"Date","Price","Open","High","Low","Vol.","Change %"
"12-09-2025","3,686.40","3,672.80","3,695.50","3,667.30","146.96K","0.35%"
"11-09-2025","3,673.60","3,680.60","3,687.50","3,651.00","214.61K","-0.23%"
"10-09-2025","3,682.00","3,662.00","3,697.50","3,651.40","182.03K","-0.01%"
"09-09-2025","3,682.20","3,676.60","3,715.20","3,663.70","262.66K","0.13%"
"08-09-2025","3,677.40","3,635.00","3,685.70","3,621.70","227.64K","1.28%"
"07-09-2025","3,630.80","3,634.30","3,637.30","3,623.50","20.42K","-0.62%"
"05-09-2025","3,653.30","3,602.00","3,655.50","3,595.40","237.65K","1.29%"
"04-09-2025","3,606.70","3,619.80","3,621.60","3,573.70","232.58K","-0.79%"
"03-09-2025","3,635.50","3,600.00","3,640.10","3,592.40","220.79K","1.21%"
"02-09-2025","3,592.20","3,517.90","3,602.40","3,506.00","374.14K","1.14%"
"01-09-2025","3,551.82","3,511.17","3,556.87","3,506.05","127.09K","1.13%"
"31-08-2025","3,512.00","3,517.65","3,517.65","3,509.70","","-0.12%"
"29-08-2025","3,516.10","3,477.20","3,518.50","3,463.00","188.55K","1.20%"
"28-08-2025","3,474.30","3,452.60","3,478.70","3,442.50","156.60K","1.12%"
"27-08-2025","3,435.70","3,428.10","3,436.00","3,410.70","0.09K","0.46%"
"26-08-2025","3,420.10","3,398.10","3,427.00","3,398.10","0.15K","0.45%"
"25-08-2025","3,404.90","3,399.70","3,407.20","3,395.00","0.09K","-0.40%"
"22-08-2025","3,418.50","3,383.30","3,423.40","3,362.80","186.04K","1.09%"
"21-08-2025","3,381.60","3,392.20","3,394.40","3,367.40","123.50K","-0.20%"
"20-08-2025","3,388.50","3,359.00","3,394.30","3,353.40","135.52K","0.89%"
"19-08-2025","3,358.70","3,378.30","3,389.70","3,358.10","133.50K","-0.57%"
"18-08-2025","3,378.00","3,382.40","3,403.60","3,368.00","119.14K","-0.14%"
"15-08-2025","3,382.60","3,383.20","3,394.80","3,377.70","118.49K","-0.02%"
"14-08-2025","3,383.20","3,407.20","3,423.80","3,375.50","165.70K","-0.74%"
"13-08-2025","3,408.30","3,399.60","3,422.60","3,392.70","135.85K","0.27%"